RUC|NOMBRE_DE_ENTIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|CODIGO_SIAF|CODCONSUCODE|ESTADO|ULTIMAACTUALIZACION
20162086716|GOBIERNO REGIONAL DE LIMA - DIRECCION DE SALUD III LIMA NORTE|LIMA|HUAURA|HUACHO|1285|10206|Activo|19/05/17
20530944817|GOBIERNO REGIONAL DE LIMA - DIRECCIÓN REGIONAL DE AGRICULTURA DE LIMA PROVINCIAS|LIMA|HUAURA|HUACHO|1228|200156|Activo|17/07/13
20530764835|GOBIERNO REGIONAL DE LIMA - DIRECCION REGIONAL DE EDUCACION DE LIMA PROVINCIAS|LIMA|HUAURA|SANTA MARIA|1190|200115|Activo|17/07/13
20170137346|GOBIERNO REGIONAL DE LIMA - HOSPITAL BARRANCA-CAJATAMBO Y SERVICIOS BASICOS DE SALUD|LIMA|BARRANCA|BARRANCA|1289|10009|Activo|17/07/13
20284684827|GOBIERNO REGIONAL DE LIMA - HOSPITAL CHANCAY Y SERVICIOS BASICOS DE SALUD|LIMA|HUARAL|CHANCAY|1290|10010|Activo|22/12/15
20170983816|GOBIERNO REGIONAL DE LIMA - HOSPITAL DE APOYO REZOLA|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|1288|10211|Activo|17/07/13
20162197461|GOBIERNO REGIONAL DE LIMA - HOSPITAL HUACHO-HUAURA-OYON Y SERVICIOS  BASICOS  DE  SALUD|LIMA|HUAURA|HUACHO|1286|10006|Activo|25/09/15
20180817680|GOBIERNO REGIONAL DE LIMA - HOSPITAL HUARAL Y SERVICIOS BASICOS DE SALUD|LIMA|HUARAL|HUARAL|1292|200086|Activo|17/07/13
20544005864|GOBIERNO REGIONAL DE LIMA - RED DE SALUD DE HUAROCHIRI|LIMA|HUAROCHIRI|RICARDO PALMA|1404|200404|Activo|17/07/13
20202698124|GOBIERNO REGIONAL DE LIMA - SERVICIOS BASICOS DE SALUD CAÑETE-YAUYOS|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|1287|10210|Activo|17/07/13
20225634085|GOBIERNO REGIONAL DE LIMA - SERVICIOS BASICOS DE SALUD CHILCA-MALA|LIMA|CAÑETE|SAN ANTONIO|1291|200063|Activo|22/12/15
20320689792|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL Nº 16 BARRANCA|LIMA|BARRANCA|BARRANCA|1189|10181|Activo|17/07/13
20191551371|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 08 - CAÑETE|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|1181|10173|Activo|28/09/15
20175071173|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 09|LIMA|HUAURA|HUALMAY|1182|10174|Activo|17/07/13
20188987134|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 10 - HUARAL|LIMA|HUARAL|HUARAL|1183|10175|Activo|28/09/15
20320710660|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 11 - CAJATAMBO|LIMA|CAJATAMBO|CAJATAMBO|1184|10176|Activo|28/09/15
20232568861|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 12 - CANTA|LIMA|CANTA|CANTA|1185|10177|Activo|28/09/15
20364513276|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 13 - YAUYOS|LIMA|YAUYOS|YAUYOS|1186|10178|Activo|28/09/15
20146962611|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 14 - OYON|LIMA|OYON|OYON|1187|10179|Activo|28/09/15
20154768859|GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 15 - HUAROCHIRI|LIMA|HUAROCHIRI|MATUCANA|1188|10180|Activo|28/09/15
20530688390|GOBIERNO REGIONAL DE LIMA SEDE CENTRAL|LIMA|HUAURA|HUACHO|1027|200030|Activo|24/04/17
